"","rnk"
"ELAVL4",3.35266674217804
"ENSG00000249478",3.34984878496891
"ENSG00000267714",3.34849737164775
"SLC5A10",3.34244121413118
"R3HDM4",3.34135327705393
"ENSG00000261729",3.34030619552968
"LINC02288",3.33954155822222
"ABCB10P1",3.33919484920894
"LINC01293",3.33849125729781
"RPS20",3.3381091274564
"PLA2G2F",3.33767762240883
"ENSG00000261763",3.33722308208478
"PGLYRP2",3.3368332057177
"ENSG00000269072",3.33597676742486
"VXN",3.33159932580435
"SHISA7",3.32900248454853
"TEX33",3.32825511280186
"ECEL1",3.32822387495619
"TRPM3",3.32761745412221
"RPS28",3.32516901092636
"CT70",3.32487810948845
"STRC",3.31968668203495
"ENSG00000285671",3.31854276374968
"LINC00303",3.31768832765718
"S100A7A",3.31746673035696
"ENSG00000286746",3.3151986798847
"ENSG00000251199",3.31505381572212
"OR4K2",3.3137712428768
"TRPC5",3.31263601054513
"OLFM3",3.30877556354257
"FBN3",3.30850306440465
"KIF5C-AS1",3.30839001154719
"CA10",3.30826263879534
"MEFV",3.30816621096317
"INTS1",3.30169526190756
"ACTL6B",3.30117939135109
"B3GAT1",3.30081634540841
"ENSG00000225209",3.30046674850825
"MMD2",3.30027983626317
"ENSG00000288540",3.29624434755745
"HJV",3.29530520952264
"ENSG00000279467",3.29385111666496
"LINC01532",3.29326595749509
"DSP",3.29182791554154
"ARID3C",3.28789445539443
"FCRL6",3.28463543489254
"LINC02991",3.28142978388776
"ENSG00000286694",3.28097503897449
"VRTN",3.2808858202157
"ENSG00000255240",3.27788805109213
"CCDC169",3.27331066609944
"CXCR2P1",3.27298999517157
"PDILT",3.27252933921858
"ENSG00000228776",3.27205234003364
"ENSG00000288742",3.27110337497526
"ENSG00000283283",3.26698530310798
"ENSG00000279164",3.26697228751486
"NR1I3",3.26696229618368
"LINC02575",3.26511052221702
"ENSG00000288253",3.26495243290986
"SLCO5A1-AS1",3.26467051629397
"ENSG00000284711",3.26443854336233
"DDIT4",3.26435653063938
"SLC6A15",3.2641819957638
"ANKRD55",3.26300538950582
"ESYT2",3.26184931516478
"ENSG00000259998",3.26063108200405
"ENSG00000259035",3.26043658657089
"LMOD3",3.2594228374126
"ENSG00000287629",3.25871497604953
"PNLIPRP1",3.25822207262585
"ATF3",3.2541315511418
"H2AZ2-DT",3.25325594296451
"ENSG00000251294",3.25182579590429
"AGXT",3.24957374648164
"ENSG00000287035",3.2476574550072
"FAM83F",3.24689668162637
"MAGEB6B",3.2462752999156
"ENSG00000233968",3.24618226549474
"ENSG00000259848",3.24560323836505
"ENSG00000253745",3.24166082588198
"SH3GL1",3.24121406390623
"AP3S1",3.23809757754068
"ENSG00000285486",3.23547178806824
"ENSG00000261697",3.23352072380416
"SHISAL2A",3.23069673007296
"DCC",3.22802796754148
"GSG1L",3.22778329666947
"TBC1D3P5",3.22534413116577
"KIAA1210",3.22468057597175
"MLKL",3.22203381663191
"CYP51A1-AS1",3.22193693486271
"TTC12-DT",3.2217187138841
"TRIM63",3.21905432994288
"ENSG00000286294",3.2180851127783
"ENSG00000280117",3.21731940419509
"LINC01954",3.21661783366701
"LINC01363",3.21628261421387
"ENSG00000266573",3.2147338323847
"NKX3-1",3.2137099179083
"PCSK1",3.21323666502293
"GFY",3.21204563772583
"LINC02092",3.21130877932579
"LINC02756",3.20850396241648
"CEACAMP4",3.20827709720074
"LINC01533",3.20742351713117
"KIF18BP1",3.20714534812426
"DRD3",3.20605105861053
"EMX2",3.2025080042804
"CD48",3.20171059741399
"GRAP2",3.20051256495924
"KCTD16",3.19951656121981
"CFHR5",3.19703275934518
"EPHA8",3.19668141341818
"COL9A1",3.19550512872541
"RASSF3-DT",3.18805155400257
"REXO1L1P",3.18719445858977
"VAC14-AS1",3.18718926740441
"TERB2",3.1838906867157
"ENSG00000203335",3.18280937071793
"ENSG00000286034",3.18100638605065
"SLC5A12",3.18016977459798
"OR56A1",3.17973532509185
"KRT1",3.17554373780013
"TMEM114",3.17353069841082
"ENSG00000285535",3.17317742202276
"SULT2A1",3.17287389258294
"LINC01488",3.17146580073204
"ENSG00000286411",3.17024328051939
"LINC01270",3.16870157229131
"ENSG00000279932",3.16769386550731
"ENSG00000286414",3.16767314303384
"DMRTB1",3.167206780129
"RUNDC3A-AS1",3.16635027839619
"PIRT",3.16596141686398
"ENSG00000287747",3.16583258938449
"ENSG00000205653",3.16576054517533
"OR3A3",3.16572670769757
"ENSG00000259280",3.1620023665623
"GZMH",3.1620023665623
"MYO16",3.15966934278156
"GRTP1-AS1",3.15950126491122
"CEBPB",3.15947495959878
"ENSG00000228204",3.15818782275172
"TMPRSS5",3.15775104929158
"ENSG00000287119",3.15707082991506
"LINC02199",3.15477285513854
"MAGEL2",3.15454640023069
"ENSG00000262898",3.15163794810096
"TBX22",3.15124794644686
"NOS1",3.15056716938198
"ENSG00000232006",3.14878302622566
"SLC18A1",3.14768651924869
"LPAR6",3.14641488353818
"SSX3",3.1449336038852
"ENSG00000235020",3.14416835481949
"FER1L5",3.14144450442376
"LINC00905",3.13619271364686
"LINC02668",3.13538315860895
"ENSG00000279744",3.13518091638442
"ENSG00000271419",3.13387445286543
"LINC00837",3.13375688910545
"FGB",3.1329007739653
"ENSG00000229672",3.13167601815013
"CHGB",3.13122851006526
"ADGRB2",3.13116760796342
"NEU3",3.13022409979153
"OTUD1",3.13007782140868
"ST18",3.12918072636457
"ALOX15P2",3.12808446576293
"BTBD18",3.12785921449683
"WEE2",3.12326230093492
"LINC02471",3.12325805031766
"KDM4A-AS1",3.12203617563724
"ENSG00000231704",3.12175538652068
"SEC61G",3.1216604069179
"CALB1",3.1191070544052
"ENPP6",3.11794723234429
"ENSG00000236031",3.11613456381066
"CADM2-AS1",3.11604340278876
"GAD2",3.11481475367706
"ENSG00000279910",3.11279039635565
"EGFR",3.11239629596969
"SLC13A4",3.1101312079727
"BPESC1",3.10921555782612
"LINC00485",3.10866885135267
"HEPHL1",3.10794501091461
"ENSG00000253123",3.10704419292
"ENSG00000188897",3.105792103741
